,latitude,longitude,sensor_num,sat_lat,sat_lon,atm_pressure
0,15.397246360778809,164.99159240722656,184.0,0.0,-135.0,996.0
1,15.79931354522705,164.54641723632812,184.0,0.0,-135.0,996.0
2,16.200666427612305,164.0992431640625,184.0,0.0,-135.0,1010.0
3,16.601154327392578,163.65017700195312,184.0,0.0,-135.0,1010.0
4,17.000835418701172,163.1994171142578,184.0,0.0,-135.0,1007.0
5,17.501148223876953,162.85037231445312,184.0,0.0,-135.0,1007.0
6,18.000585556030273,162.49917602539062,184.0,0.0,-135.0,1007.0
7,18.351238250732422,162.00018310546875,184.0,0.0,-135.0,1007.0
8,18.700584411621094,161.49917602539062,184.0,0.0,-135.0,1007.0
9,19.051259994506836,161.00021362304688,184.0,0.0,-135.0,1007.0
10,19.40050506591797,160.49876403808594,184.0,0.0,-135.0,1007.0
11,19.7020320892334,159.75022888183594,184.0,0.0,-135.0,1007.0
12,20.000749588012695,158.9993438720703,184.0,0.0,-135.0,1007.0
13,20.451213836669922,158.6005096435547,184.0,0.0,-135.0,1007.0
14,20.900836944580078,158.19900512695312,184.0,0.0,-135.0,1006.0
15,21.401865005493164,157.60110473632812,184.0,0.0,-135.0,1006.0
16,21.901084899902344,156.9993438720703,184.0,0.0,-135.0,1007.0
17,22.55159568786621,156.60121154785156,184.0,0.0,-135.0,1007.0
18,23.20088005065918,156.1993865966797,184.0,0.0,-135.0,1007.0
19,23.701236724853516,155.8507537841797,184.0,0.0,-135.0,1007.0
20,24.201332092285156,155.4999237060547,184.0,0.0,-135.0,1004.0
21,25.00136947631836,155.4502410888672,184.0,0.0,-135.0,1004.0
22,25.80116844177246,155.40090942382812,184.0,0.0,-135.0,1004.0
23,26.502241134643555,155.9475860595703,184.0,0.0,-135.0,1004.0
24,27.201091766357422,156.50157165527344,184.0,0.0,-135.0,1000.0
25,27.85435676574707,157.4459228515625,184.0,0.0,-135.0,1000.0
26,28.501699447631836,158.40281677246094,184.0,0.0,-135.0,1000.0
27,29.41050910949707,159.93893432617188,184.0,0.0,-135.0,1000.0
28,30.3013858795166,161.5024871826172,184.0,0.0,-135.0,996.0
29,31.172035217285156,163.09197998046875,184.0,0.0,-135.0,996.0
30,31.740123748779297,164.16519165039062,184.0,0.0,-135.0,996.0
31,31.880380630493164,164.43484497070312,184.0,0.0,-135.0,996.0
32,32.01995849609375,164.7051239013672,184.0,0.0,-135.0,996.0
33,32.15900421142578,164.97628784179688,184.0,0.0,-135.0,996.0
